Dagaare,English
gbori,board on which meat is dressed and cut
gboribiri,key
gborigbori,to struggle
gborikuŋkuni,padlock
gborivuuri,paddle
gborogboro,very large e.g. grains
gboroto,the manner of meeting face-to-face suddenly
gbotole,bush baby  animal 
gbɔɡe,   to be close to
gbɔɡe,not full e.g. sack of grain
gbɔgele,to hold too many things at a time
gbɔgele,to assemble poorly e.g. broken-down machine
gbɔgɔ,a type of reptile similar to the monitor lizard
gbutuli,uninformed person  fool
gbuuli,see guuli  make a knot 
gyaaŋkoli,the sacrum and coccyx
gyaare,to rake
gyaaroo,a type of wild mouse
gyãayo,thanks
Gyabuni,a type of idol with magical powers among the Dagaaba
gyabuno,fetish
gyaga,useless
gyage,   to face a task that is difficult surmount 
gyage,  jack
gyagele,to hang on to
gyambiri,clitoris
gyammo,clitoris
gyangyagera,one who behaves abnormally  insane person
gyangyagera,fried corn or bean flour mixed with vegetables
gyaŋgbaa,something that is acidic  usually harmful
gyaŋgbeɛ,small child
gyaŋgboŋi,house mouse
gyaŋgboro,fried dough made from the leaves of a small plant
gyaŋgboro,a type of small plant with edible leaves
gyaŋgbɔgɔ,a type of monitor lizard
gyarema,a type of yam farm where sticks with branches are used to support the vine of the yam
gyarima,a type of tree with medicinal properties
gyee,short form of gyeere
gyeere,to circle around from front to back of an object  to move away from  to change environment
gyeɛne,to lurk  wishing to do something
gyeɛne,see gyɛngyeɛne  protrusion 
gyeɛraa,plume
gyefa,pocket
gyefa,unclean thing
gyege,to be fully grown
gyegele,a spiritually powerful person
gyegere,to display one’s supernatural power
gyegiri,to mix by placing things in between others
gyegiri,to counter someone’s speech  to challenge
gyelaa,carnivorous animal
gyell,protuding e.g. arrow stuck in an animal
gyemɛ,convulsion
gyemɛ,short form of dããgyemɛ
gyena,fairy
gyenne,to test
gyenne,to waylay
gyennoo,test
gyeraa,woven grass bracelet worn on the wrist
gyeraa,short  distance 
gyere,to cross between  two objects   
gyere,to stumble
gyere,to subside  of rain 
gyere,to set an arrow on a bow ready to shoot  to carry an axe on the neck
gyere,to pierce through to the other side
gyere,portion unattended to  part of farm 
gyeremɛ,respect
gyeremiri,rope made from a type of grass  kantɛrɛɛ 
gyeremuri,a type of river grass stalk
gyerɛbaa,Jirapa  the main town in Central Dagao 
gyerɛgyerɛ,a type of skin disease
gyerre,to crisscross  lying across one another  used with taa 
gyɛ,to reject
Gyɛɛmaan,Germany
Gyɛle,a stream in Kaane  a native named after this stream
gyɛle,to rummage  to look through searching  to analyse
gyɛle,egg
gyɛle,thought  not giving thought  absent minded
gyɛlemɛ,smallpox
gyɛleŋmɛne,snail  shellfish
gyɛlpɛge,eggshell
gyɛlzizeɛ,yolk
gyɛmɛgyɛmɛ,slowly and unnoticed
gyɛndaa,spindle
gyɛnee,groundnut
gyɛngyeɛne,protrusion
gyɛngyɛre,a climbing plant
gyɛnne,please
gyɛnterɛ,prostitute  not sticking to one thing
gyɛŋe,extensive  deep
gyɛŋe,to move unsteadily  to move aside
gyɛŋe,thought
gyɛŋgɛlɛ,measles
gyɛre,to be mixed up  different types   to be confused
gyɛre,to stand firm
gyieli,to note
gyieri,to grind into coarse powder
gyiili,tendon  artery  nerve
gyikoli,the sacrum and coccyx
gyildaa,less loud sounding one of the pair of xylophones
gyildoɔle,xylophone mallet
gyili,xylophone
gyilkoɔre,gourd used in making the xylophone
gyilnyaa,the base chord area of the xylophone
gyilnyaŋaa,the more loud sounding between a pair of xylophones
gyiri,cordlike talisman worn on the waist
gyiri,to bring about a change that makes life difficult
gyirimuri,sulphur
gyoboraa,carnivore
gyoge,to pull mouth or lips in front to show anger.  typically used with noɔre   
gyoge,to weed badly
gyogere,to clear growth badly  barbing or hoeing 
gyogili,to hold on to lightly and gently
gyogo,behaviour
gyolomm,quietly and slowly  on tiptoe 
gyongyolingyo,squat squarely
gyongyoŋ,to move on tiptoe
gyoŋene,to make unlively
gyoŋgoroŋ,a little higher or taller than
gyoone,to become inactive
gyore,to work at or make badly
gyɔŋgyɔŋ,to move haphazardly on one’s toes
gyongyoŋ gyɔ̃ɔ,tall and lanky
gyɔreba,long
gyuuni,vulture
ha,to hire
haa,to open by stretching out two ends e.g. lips
haa,all  Central Dagaare dialect 
haale,even
haali,greatly
haali,even if
haanaa,blackberry
haare,to shout at  to frighten or drive away
hage,   hold tight 
hage,  tighten
ha-haa,wide open
hai,so?
hale,to smell strongly and unpleasantly
hale,to speak in anger
halhale,to strive with
haligba,even
hama,hammer
hama,plenty
hamama,resounding  singing 
hamamma,loudly and continuously
hamm,large
hankyere,handkerchief
haŋe,   to suffer
haŋe, to perspire
hap,to clutch tightly  North Dagaare dialect 
harahara,rough
hare,of the stomach  overwhelmed by hunger 
helli,sharp shout e.g. during hearty laughter  
helli,the sharp cry of a dog when hit
heŋi,to draw in one’s stomach
heremm,very tight
hɛɛ,caution
hɛɛ,overtaken completely e.g. sleep
hɛge,to increase  e.g.
hɛgele,to cramp
hɛgelɛgɛ,tired and helpless
hɛgere,to pant  e.g.
hɛgɛkɛ,large and red  e.g.
hɛmɛmmɛ,very sweet
hɛrɛ,manner of taking a big sip of fluid
hieri,to yawn
hĩi,expression of sorrow  sobbing 
hiini,to cry earnestly
hiri,to get to the climax
hiri,to become hot
hiri,to become serious
hogoko,intensely red
holi,triangular blade
hoo,open and endless
hoo,hooting
hõo,expression of despair
hoone,to growl
hɔɔpɛmpɛlɛŋ,spleen
hunihuni,   to speak in undertone 
hunihuni, to gossip
hunni,whisper into the ear
huuni,   to hum  dispirited 
huuni,  of a dog’s expression of a familiar person  welcome
iini,to get charged up
ingŋyi,engine
inni,to forget
iree,duiker  small antelope 
iri,   to rise
iri,   to choose
ka,that  introducing subordinated clauses 
ka,   if
ka,to bail out  water 
kaa,   to curse 
kaa,  to invoke
kaa,  to look
kãa,   oil  butter 
kãa, fat 
kãa, nectar e.g. in honey
kaabanyɛ,disrespect
kaabo,millet plant
kãaboli,pure liquid oil
kãaburi,burnt residue from shea butter
kaale,   to invoke 
kaale, to perform a libation
kaale,to gather e.g. soil
kaalɔɔ,little thing eaten instantly
kaama,lively state
kaapɔge,maybe
kaaraa,lumpy paste made from bean flour
kaare,car
kaare,to drag e.g. feet on the ground
kaare,to clear one’s throat  to cough up  phlegm 
kaare,   to move away
kaare,  to move away immediately
kaarebiri,sputum sg  kaarebiruu pl  kaarebie    kaarebiree kaarebiiree
kaaterɛ,cursed one
kaa tĩĩ,look closely
kãazẽɛ,debris from final preparation of shea butter oil
kabiri,millet grain sg  kabiruu pl  kabie    kabiiree
kabooroo,millet seed
kabɔrɔ,fresh
kabulo,sown sprouts of millet
kadaa,   millet stalk 
kadaa, long stick for threshing millet
kadaara,millet or guinea corn that is not properly matured
kadori,heap of millet
kafini,lance
kage,stay intently
kagelaŋ,large and long
kagere,to beckon
kagere,to bite or cut lightly
kagesaga,small and dry
kagesaga,large and dry
kagbin,ears of corn or millet tied together
kagbulo,unbroken millet seeds
kaka,hippopotamus
kakaduro,ginger
kakalaa,a type of tree  has extremely hard wood
Kakube,a farming festival of the Nandom people
kakubo,millet mixed with stones
kakumo,donkey
kakpennɛ,untidy millet
kakyeerɛ,second-grade millet
kakyeɛrɛ,one who harvests millet
kakyo,basket strainer
Kala,a type of fetish
kala,dog
kalakala,slightly bitter
kalbiri,dawdaw spice  seed 
kale,suffering
kale,spice made from dawdaw seed
kale,to scoop water in small amounts e.g. washing hands
kale,to make a short comment on another person’s speech
kalekale,foul-smelling
kalekale,to move in a jerky manner
kaleŋkaa,gall
kaleŋkaloɔraa,a round smooth stone used in grinding
kaleŋkawerɛ,a type of wasp
kaleŋkoɔraa,round stone
kaleŋmeɛ,a type of bird
kalere,oath in which one gives away one’s food if one fails to twist a finger on another while eating  used by children 
kalinfuoro,bit of the sign
kalpigiraa,ball of dawdaw spice
kalsoro,water used to wash dawdaw seed for spice
kama,close eyes shortly
kama,cut sharply
kamaabiri,kernel  of corn
kamaadaa,maize stalk
kamaadakɔɔre,corncob
kamaalɔnzeere,corn silk
kamaane,maize
kamalaɛ,carbide lamp  headlamp used by hunters at night
kamasɛle,a type of thorny
kamɔnɔ,driver
kampala,a type of smart hunting dog
kampele,city
kampili,thatched hut
kana,thick paste made from flour and broth
kanaakanaa,stretched to the limit  tight
kananna,not coming forth
kanaŋe,a type of red insect with a split tail
kanatɛgɛ,reward
kandazugidaa,wood of the kandazugiri tree
kandazugiri,   a type of small tree with multiple branches and yellow fruits that are edible 
kandazugiri,  the fruits of this tree
kane,to be overmature e.g. okro fruits
kanea,hurricane lamp
kaneɛbiri,lampshade
kanfaraŋ,light  weight 
kankyeemɛ,one hired to cook for another
kankyɛle,a type of large tree with large
kankyɛlpelaa,a type of tree
kankyiri,a type of small plant with edible leaves
kankyirikpoŋ,see
kanne,   to teach 
kanne,  to read
kanne,to doubt
kannyiri,patience
kansele,council
kansɛ,cakes
kansɔge,foreign  not locally made  hoe
kantakye,train
kantɛroo,a type of strong grass that grows on riverbeds
kanwaa,supposed
kanwaa,hard pebble of acid
kanwaa-ŋmen-yelmanna,false prophet
kaŋazaa,anyone
kaŋemaŋ,light  weight 
kaŋkalaŋ,appearing suddenly
kaŋkalare,persistence in doing something despite knowing it is beyond one’s ability
kaŋkale,a type of medicinal stew food made from flour and broth
kaŋkambulo,chronic ulcer
kaŋkandoraa,a type of bird with tan plumage and a thick beak
kaŋkanduo,a type of small bird with a thick beak that eats fruits of trees
kaŋkankyekyeɛ,a type of tree with milky sap
kaŋkansaalaa,a type of tree with medicinal properties
kaŋkansɔglaa,a type of fig tree with aerial roots
kaŋkanzeɛ,a type of fig tree with medicinal properties and edible fruits
kaŋkaŋ,bad-smelling
kaŋkaŋaa,a type of tree with medicinal properties
kaŋkaŋgbalaa,a type of shady tree
kaŋkaŋkyekyeɛ,a type of fig tree
kaŋmeɛrɛ,one engaged in the threshing of millet
kaŋmɛdaa,stick for threshing millet
kapala,"mashed yam, plantain or cassava"
kapenta,carpenter
kapile,crafty
kapoŋi,millet flower
kapuro,pillow
kara,to prepare
kara,a type of grass used for thatching
karaa,unripe  
karaa, not cooked through 
karaa,not hot enough  of iron in fire 
karaa,uncompromising
karaa,cobra
karaa,clerk
karaa,file
karaa,large
karambanne,wit
karansunni,kerosene
karasa,bad-smelling
karawaara,green grass that has not been burnt completyely
kare,to drive away 
kare, to chase
kare,completely  of people going away 
kare,to break  small objects 
karekare,to attempt to make a move
karekpe,spitting cobra
karekpele,male lizard  a small reptile of the squamata family that is red-headed
karekye,clerk
karema,teacher
karemogɔ,fortuneteller
karenteɛ,machete
kareŋmeɛ,a type of bird with long
karingyoŋ,a type of musical instrument
kasɛɛte,cassette tape
kasɛlemɛ,millet seedling
kasɛlle,millet seedling meant for planting
kasogi,a small cage used as a nest for young chicks
katakye,train
kataŋa,a large granary for storage of foodstuff
kataweɛ,umbrella
katɛgɛ,large granary
katoŋe,civet
ka-uri,dusty chaff from millet  irritates the skin 
kayeɛle,the act of winnowing millet
kayeɛlɛ,one engaged in winnowing millet
kayɛre,half-wild millet
kazama,poorly matured millet
kazeɛ,guinea corn
kazu,ear of millet
keɛre,to make a cluckling noise to call fowl or drive animals away
kegireŋ,small and hanging
kegireŋ,large and hanging
kegisege,small but compact
kegisege,large and compact
kei,stop it
kei,expression of disapproval
kele,very hard seeds of some fruits e.g. baobab  adansonia digitata  gourd
kelewele,fried plantain chips
kelifelli,light  weight 
keloo,eat or chew instantly
keloo,glance at once
kenekene,full to capacity  liquid 
keŋkeleŋ,light and dangling
keŋkeleŋ,large and dangling
keŋkeŋ,very full  stomach
kere,dog
kerekere,lightweight
kerekere,wheel from the bucket
kerekere,to struggle
kerekerekeree,nursery rhyme
kereŋkereŋ,full to capacity  tyre
kerese,small and distended
kerese,big and distended  stomach 
keri,come round
keri,to measure
keri,the way a type of sound is produced when a small object hits a bigger  stiff  object  onomatopoeia 
kɛkɛre,stalk  of maize
kɛlɛkɛlɛ,lightweight  thickness 
kieluu,burnt-smelling
kieluu,high-pitched and distorted  singing 
kieree,brim of hat e.g. cowboy hat
ko,   to kill 
ko,  to put out  fire 
ko,to fold  cloth 
ko,to dry
ko,to gather e.g. rain clouds
ko,to give
kobeɛre,first weekday of post-funeral rites
kobo,penny
koboŋkoboŋ,rugged
koboɔ,goat for funeral rites
kobora,leader
kodaa,funeral week
kodãa,funeral drink
kodie,first weekend of post-funeral rites celebration
kodɔgerɔ,foetus  believed to be the cause of death of the mother during labour
kodɔɔ,widower
kodu,banana
kofi,coffee
koganaa,strip of leather
kogi,   seat
kogilii,dry and wrinkled  used for humans
kogilimala,very lean and worn out
kogiloŋ,small and curved
kogiluu,   dry 
kogiluu,  lean e.g. a person
Kogiri,name of a village in Central Dagao
kogiri,near the side of
kogiri,to wink
kogiro,basket seat
kogiroŋ,oblong in shape
kogo,mahogany
kogõɔ,funeral ground  arena of dirge singers 
kokolaa,shuttle  weaving 
kokolaa,a type of river god or fetish
kokolo,a type of tree whose ashes are used as salt
kokomo,the nature of the sound of when one takes a bite at something hard. e.g. a bone
kokoori,pan flute
kokõɔ,food or drink given to mourners at a funeral
kokyi,millet for funeral rites
kolaa,   river
kolaanoɔre,south of Ghana
kolaa nyɔge,to drown  intransitive 
kolakola,soft e.g. cloth
kolaŋene,dirge
kolboll,rising suddenly and in great quantity e.g. dust
kolee,tin  cup
kolemɛleŋ,match or correspond very well e.g. rice and beans
kolezare,funeral donation
kolimasogilo,a legendary bird believed to be as big as the ostrich and wicked
kolkol,in great numbers
kolkole,to engage in affectionate play  usually between lovers
kolkoli,to be all over another e.g. a dog welcoming an acquaintance
koll,rising into the air e.g. smoke
kolle,to gather or cut vegetation in great quantities
kolnoɔ,moorhen
kolokolo,turkey
kolokolo,light
koloŋkoloŋ,watery  diluted e.g. porridge
kolɔ,to be unperturbed  to exhibit coolness.  used with negative marker 
koltaŋaa,a type of tree with medicinal properties
kolyaaraa,a type of bird of the suborder alcedines that feeds on fish
komaale,funeral rites
komaaroŋ,a funeral where the corpse is not yet buried
Komaase,main city in the Ashanti Region of Ghana
komakoma,mild e.g. drink
komboroŋ,wrinkled
komiri,a string or strip of cloth tied round the wrist or waist of the bereaved during the funeral rites
kommiruu,   tomato 
kommiruu,   eggplant
komoɔreŋ,a type of funeral dirge
kona,in large quantity
konaabo,cow meant for funeral rites
konɛɛ konɛɛ,on and on in the same direction
konkon,completely
kon-kon-kon,to fall helplessly
konne,to make a short audible exhalation through the nose in to stop inhaling bad smell
konni,cry
konni,to catch a falling object in midair  to prevent from falling 
konono,mouse nest
konobara,lamentation
konono,   smooth  flour  
konono,   soft  body 
konono,    unasuming  behaviour 
konoɔ,final funeral of the Sisala  an ethnic group in the UWR 
kon-ɔɔnɛnesoba,vegetarian
konzagera,mouse nest
koŋ,not   N koŋ gaa be zenɛ.
koŋi,mangled
koŋi, cry
koŋi,to ferment
koŋkogiri,boundary  of a field 
koŋkola,farming field
koŋkombiri,funeral dirge text
koŋkommoola,incessant crying and for no apparent reason e.g. a child
koŋŋmɛbaa,back of the head of the dog
koŋ-ɔɔ-moɔ,dog
kookeree,one’s best attempt  effort
koone,to groan  in pain 
kooraa,umbilical hernia
koore,to snore
koore,to collect or move a load at once
koɔ,to have an upset stomach
kõɔ,   water 
kõɔ,  pus
kõɔ,water-like
koɔbo,the act of farming
koɔle,to gather  to bring together
koɔle,to get sick
koɔle sɔgelaa,fertile land
koɔlɔ,   farmland 
koɔlɔ, environment
koɔraa,farmer
koɔre,to sell
koɔre,to scrape
koɔre,to tap
koɔre,group of stars  galaxy
koɔre,gourd
koɔre,residue of final beer
kopeɛ,ground immediately surrounding the stage of the corpse
ko-pɔge,widow
ko-puoraa,belated condolence  usually from someone who misses a funeral 
koraa,village  bush settlement
kore,   to be old  not young 
kore, to be old  not new 
kore,old
korekore,to break into bits and pieces  grass 
korekore,many
koremaŋ,unkempt
korepere,a type of monkey with thick fur
